"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Rancho Cucamonga","Rancho Cucamonga","CA","California","06071","San Bernardino","34.1247","-117.5667","178060","1714","shape","FALSE","TRUE","America/Los_Angeles","2","91730 91701 91737 91739","1840020411"
"Vallejo","Vallejo","CA","California","06095","Solano","38.1125","-122.2342","177255","1539","shape","FALSE","TRUE","America/Los_Angeles","2","94592 94591 94589 94590","1840021499"
"Oceanside","Oceanside","CA","California","06073","San Diego","33.2247","-117.3083","175694","1643","shape","FALSE","TRUE","America/Los_Angeles","2","92058 92054 92057 92056","1840020623"
"Vero Beach South","Vero Beach South","FL","Florida","12061","Indian River","27.6132","-80.4163","174748","939","shape","FALSE","TRUE","America/New_York","2","32968 32966 32962 32960","1840073853"
"Ocala","Ocala","FL","Florida","12083","Marion","29.1780","-82.1511","174618","490","shape","FALSE","TRUE","America/New_York","2","34475 34474 34471 34470","1840015067"
"Sioux Falls","Sioux Falls","SD","South Dakota","46099","Minnehaha","43.5396","-96.7311","173921","883","shape","FALSE","TRUE","America/Chicago","2","57108 57104 57105 57106 57107 57103 57197 57110 57117","1840002648"
"Danbury","Danbury","CT","Connecticut","09001","Fairfield","41.4015","-73.4709","173508","777","shape","FALSE","TRUE","America/New_York","2","06810 06811","1840004837"
"Elk Grove","Elk Grove","CA","California","06067","Sacramento","38.4161","-121.3842","173370","1594","shape","FALSE","TRUE","America/Los_Angeles","2","95624 95757 95758","1840020245"
"High Point","High Point","NC","North Carolina","37081","Guilford","35.9910","-79.9937","173324","770","shape","FALSE","TRUE","America/New_York","2","27265 27282 27235 27268 27262 27263 27260","1840014479"
"Garden Grove","Garden Grove","CA","California","06059","Orange","33.7787","-117.9601","172800","3715","shape","FALSE","TRUE","America/Los_Angeles","2","92843 92840 92841 92844 92845","1840020577"
"Peoria","Peoria","AZ","Arizona","04013","Maricopa","33.7843","-112.2989","172109","377","shape","FALSE","TRUE","America/Phoenix","2","85373 85381 85383 85382 85324 85345","1840020567"
